# Lithography Source Distribution
# wavelength_nm = 13.500
# NA            = 0.33
# sigma_outer   = 0.8
# sigma_inner   = 0.55
# source_type   = annular
# grid_N        = 256
# dx_nm         = 4.000
# df_per_nm     = 9.765625e-04
# total_points  = 664
# norm_conv     : sigma_x = fx_per_nm / (NA/wavelength)
# intensity_sum = 1.000000  (should be 1.0)
sigma_x,sigma_y,rho,phi_deg,fx_per_nm,fy_per_nm,intensity
0.479403,0.639205,0.799006,53.1301,1.171875e-02,1.562500e-02,1.50602410e-03
-0.399503,0.679155,0.787943,120.4655,-9.765625e-03,1.660156e-02,1.50602410e-03
-0.359553,0.679155,0.768459,117.8973,-8.789062e-03,1.660156e-02,1.50602410e-03
-0.319602,0.679155,0.750598,115.2011,-7.812500e-03,1.660156e-02,1.50602410e-03
-0.279652,0.679155,0.734477,112.3801,-6.835938e-03,1.660156e-02,1.50602410e-03
-0.239702,0.679155,0.720214,109.4400,-5.859375e-03,1.660156e-02,1.50602410e-03
-0.199751,0.679155,0.707921,106.3895,-4.882812e-03,1.660156e-02,1.50602410e-03
-0.159801,0.679155,0.697702,103.2405,-3.906250e-03,1.660156e-02,1.50602410e-03
-0.119851,0.679155,0.689649,100.0080,-2.929688e-03,1.660156e-02,1.50602410e-03
-0.079901,0.679155,0.683839,96.7098,-1.953125e-03,1.660156e-02,1.50602410e-03
-0.039950,0.679155,0.680329,93.3665,-9.765625e-04,1.660156e-02,1.50602410e-03
0.000000,0.679155,0.679155,90.0000,0.000000e+00,1.660156e-02,1.50602410e-03
0.039950,0.679155,0.680329,86.6335,9.765625e-04,1.660156e-02,1.50602410e-03
0.079901,0.679155,0.683839,83.2902,1.953125e-03,1.660156e-02,1.50602410e-03
0.119851,0.679155,0.689649,79.9920,2.929688e-03,1.660156e-02,1.50602410e-03
0.159801,0.679155,0.697702,76.7595,3.906250e-03,1.660156e-02,1.50602410e-03
0.199751,0.679155,0.707921,73.6105,4.882812e-03,1.660156e-02,1.50602410e-03
0.239702,0.679155,0.720214,70.5600,5.859375e-03,1.660156e-02,1.50602410e-03
0.279652,0.679155,0.734477,67.6199,6.835938e-03,1.660156e-02,1.50602410e-03
0.319602,0.679155,0.750598,64.7989,7.812500e-03,1.660156e-02,1.50602410e-03
0.359553,0.679155,0.768459,62.1027,8.789062e-03,1.660156e-02,1.50602410e-03
0.399503,0.679155,0.787943,59.5345,9.765625e-03,1.660156e-02,1.50602410e-03
-0.319602,0.719105,0.786929,113.9625,-7.812500e-03,1.757812e-02,1.50602410e-03
-0.279652,0.719105,0.771568,111.2505,-6.835938e-03,1.757812e-02,1.50602410e-03
-0.239702,0.719105,0.758003,108.4349,-5.859375e-03,1.757812e-02,1.50602410e-03
-0.199751,0.719105,0.746333,105.5241,-4.882812e-03,1.757812e-02,1.50602410e-03
-0.159801,0.719105,0.736647,102.5288,-3.906250e-03,1.757812e-02,1.50602410e-03
-0.119851,0.719105,0.729024,99.4623,-2.929688e-03,1.757812e-02,1.50602410e-03
-0.079901,0.719105,0.723530,96.3402,-1.953125e-03,1.757812e-02,1.50602410e-03
-0.039950,0.719105,0.720214,93.1798,-9.765625e-04,1.757812e-02,1.50602410e-03
0.000000,0.719105,0.719105,90.0000,0.000000e+00,1.757812e-02,1.50602410e-03
0.039950,0.719105,0.720214,86.8202,9.765625e-04,1.757812e-02,1.50602410e-03
0.079901,0.719105,0.723530,83.6598,1.953125e-03,1.757812e-02,1.50602410e-03
0.119851,0.719105,0.729024,80.5377,2.929688e-03,1.757812e-02,1.50602410e-03
0.159801,0.719105,0.736647,77.4712,3.906250e-03,1.757812e-02,1.50602410e-03
0.199751,0.719105,0.746333,74.4759,4.882812e-03,1.757812e-02,1.50602410e-03
0.239702,0.719105,0.758003,71.5651,5.859375e-03,1.757812e-02,1.50602410e-03
0.279652,0.719105,0.771568,68.7495,6.835938e-03,1.757812e-02,1.50602410e-03
0.319602,0.719105,0.786929,66.0375,7.812500e-03,1.757812e-02,1.50602410e-03
-0.239702,0.759055,0.796004,107.5256,-5.859375e-03,1.855469e-02,1.50602410e-03
-0.199751,0.759055,0.784899,104.7436,-4.882812e-03,1.855469e-02,1.50602410e-03
-0.159801,0.759055,0.775694,101.8887,-3.906250e-03,1.855469e-02,1.50602410e-03
-0.119851,0.759055,0.768459,98.9726,-2.929688e-03,1.855469e-02,1.50602410e-03
-0.079901,0.759055,0.763249,96.0090,-1.953125e-03,1.855469e-02,1.50602410e-03
-0.039950,0.759055,0.760106,93.0128,-9.765625e-04,1.855469e-02,1.50602410e-03
0.000000,0.759055,0.759055,90.0000,0.000000e+00,1.855469e-02,1.50602410e-03
0.039950,0.759055,0.760106,86.9872,9.765625e-04,1.855469e-02,1.50602410e-03
0.079901,0.759055,0.763249,83.9910,1.953125e-03,1.855469e-02,1.50602410e-03
0.119851,0.759055,0.768459,81.0274,2.929688e-03,1.855469e-02,1.50602410e-03
0.159801,0.759055,0.775694,78.1113,3.906250e-03,1.855469e-02,1.50602410e-03
0.199751,0.759055,0.784899,75.2564,4.882812e-03,1.855469e-02,1.50602410e-03
0.239702,0.759055,0.796004,72.4744,5.859375e-03,1.855469e-02,1.50602410e-03
0.000000,0.799006,0.799006,90.0000,0.000000e+00,1.953125e-02,1.50602410e-03
